SNUMBER	STNAME	AREAL_NOR	AREAL_UTM3	GRAD_1085	GRAD_FELT	GRAD_ELV	HEIGHT_MIN	HEIGHT_10	HEIGHT_20	HEIGHT_30	HEIGHT_40	HEIGHT_50	HEIGHT_60	HEIGHT_70	HEIGHT_80	HEIGHT_90	HEIGHT_MAX	FELT_LE_KM	ELV_LE_KM	JORDBRUKPR	MYRPRO	EFF_MYR	EFF_SJO	SKOGPRO	BREPRO	SJOPRO	SNAUFJPRO	URBANPRO
011000001000	Karihola	0.200	0.200	0.00	0.00	0.00	8	16	20	21	23	25	29	31	33	37	44	0.78	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	50.00
011000002000	Draget	0.180	0.180	0.00	0.00	0.00	10	15	18	21	24	30	33	35	38	46	60	0.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	22.22
000500017000	Rustadskogen	0.100	0.100	0.00	0.00	0.00	125	128	129	130	0	0	131	0	132	134	135	0.41	0.00	0.00	0.00	0.00	0.00	10.00	0.00	0.00	0.00	100.00
002100049000	Sømskleiva	0.040	0.040	0.00	0.00	0.00	13	21	30	39	42	45	50	54	60	64	68	0.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	100.00
007400126000	Austabotn bekkeinntak	0.000	13.150	45.56	0.00	51.02	1078	1175	1197	1223	1279	1327	1361	1411	1494	1624	2158	4.95	4.21	0.00	0.00	0.00	0.35	0.00	2.59	2.36	94.75	0.00
002100017000	Bjørgåni	37.490	37.490	37.85	0.00	40.34	573	691	747	785	812	845	869	895	927	993	1217	8.18	12.54	0.00	5.28	0.00	0.55	67.14	0.00	5.68	20.38	0.00
006300023000	Ekso ved Lavik	295.290	295.290	14.80	0.00	20.72	299	678	795	846	889	934	966	1005	1056	1119	1426	25.14	35.58	0.34	0.68	0.00	0.95	6.77	0.00	7.79	81.28	0.00
007500094000	Vetledalen bekkeinntak	17.000	17.000	49.57	0.00	56.74	1027	1284	1333	1370	1410	1445	1481	1520	1575	1645	1904	4.60	7.15	0.00	0.00	0.00	1.57	0.00	8.71	7.06	84.24	0.00
001500100000	Skollenborg	4433.210	4433.210	5.30	0.00	5.08	93	432	620	775	900	1018	1119	1180	1224	1268	1537	153.93	262.22	1.05	5.73	0.00	0.67	42.17	0.00	7.69	39.47	0.19
000201119000	Vidnesbekken	42.660	42.660	9.14	0.00	11.33	33	96	113	122	136	146	157	162	171	181	227	10.84	14.59	27.92	1.83	0.00	0.01	63.85	0.00	0.52	0.00	1.62
000600079000	Sognsvann	9.810	9.810	42.24	0.00	51.82	183	200	217	241	271	293	307	335	370	405	492	4.30	4.77	0.00	2.14	0.00	4.13	89.91	0.00	7.14	0.00	0.00
003500027000	Førreåna	160.610	160.610	25.29	0.00	34.93	52	814	964	1037	1055	1057	1073	1088	1105	1129	1252	18.16	32.37	0.00	0.04	0.00	0.22	2.80	0.00	23.33	73.44	0.04
004700011000	Jondalstjern	9.430	9.430	14.81	0.00	33.97	737	807	831	876	917	954	993	1038	1084	1172	1404	4.22	5.49	0.00	0.11	0.00	5.88	0.00	0.00	10.39	89.61	0.00
002200047000	Mannflåvatn ndf.	1489.500	1489.500	9.66	0.00	8.28	68	301	384	461	549	648	737	799	858	917	1160	83.11	101.75	0.86	5.85	0.00	0.53	41.11	0.00	8.55	38.87	0.02
002000047000	Vindfetåna ndf. Eptevatn	72.120	72.120	9.12	0.00	12.66	345	384	463	492	525	557	577	595	614	638	740	12.50	21.48	0.00	8.17	0.00	6.80	57.70	0.00	12.20	13.24	0.00
001900024000	Høgefoss min.vf.	1289.750	1289.750	5.22	0.00	8.39	173	255	375	471	550	632	702	765	823	935	1519	77.61	127.88	0.74	2.86	0.00	6.12	61.75	0.00	13.78	16.15	0.06
002700048000	Byrkelandsvatnet	176.820	176.820	126.60	0.00	98.94	179	235	311	408	474	557	627	689	742	822	1011	39.35	1.51	2.26	0.00	0.00	4.80	15.27	0.00	15.27	52.60	0.00
008400057000	Fosshølen i Nausta	267.810	267.810	20.83	0.00	24.96	11	232	367	461	533	610	687	768	854	981	1469	32.97	45.63	3.40	4.98	0.00	0.35	27.56	0.02	4.11	54.11	0.03
015100065000	Stor-Svenningvatnet	189.590	189.590	0.00	0.00	0.00	184	284	310	325	355	386	432	489	562	650	1190	25.26	0.00	0.19	9.04	0.00	8.98	44.15	0.00	17.13	19.48	0.07
002000048000	Vikstølvatn Qmin	75.780	75.780	5.21	0.00	13.05	362	478	487	499	516	532	548	568	594	627	736	15.81	21.75	0.42	13.02	0.00	4.55	64.33	0.00	12.56	9.08	0.00
011300011000	Hjelmåa	6.870	6.870	76.90	0.00	102.10	258	296	325	348	376	420	466	518	576	638	964	3.41	3.29	0.00	18.34	0.00	0.01	23.14	0.00	0.44	42.50	0.00
000201127000	Rådåe	13.620	13.620	0.00	0.00	0.00	537	998	1072	1125	1160	1209	1262	1296	1334	1371	1619	7.92	0.00	0.00	7.34	0.00	0.00	7.34	0.00	0.00	73.42	0.00
000201128000	Leina v/Furumo kulvert E6	3.780	3.780	0.00	0.00	0.00	475	722	897	960	982	994	1012	1044	1075	1109	1238	0.00	0.00	0.00	0.00	0.00	0.00	26.46	0.00	0.00	0.00	0.00
003600056000	Stølsåna	10.320	10.320	0.00	0.00	0.00	0	593	683	747	814	865	910	958	1002	1101	1448	5.06	0.00	0.00	0.00	0.00	0.00	29.07	0.00	0.00	58.14	0.00
007400108000	Raundalen i Utla	32.860	32.860	0.00	0.00	0.00	0	0	1376	1436	1461	1508	1564	1619	1693	1794	2157	12.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	91.30	0.00
024600012000	Skogfoss kraftverk	16943.740	16943.740	0.90	0.00	0.98	38	119	140	160	186	215	255	285	311	350	600	224.46	337.79	0.42	10.97	0.00	6.04	60.84	0.00	11.28	0.66	0.12
000100198000	Berg	1.360	1.360	0.00	0.00	0.00	172	177	179	180	181	183	186	190	192	196	209	2.47	0.00	33.82	0.00	0.00	0.00	65.44	0.00	0.00	0.00	0.00
