snumber,regine,main,region,altitude,lon,lat,runoff,rainfall,snowmelt,evapotranspiration,precipitation
200291,2,291,ost,1485.0,7.866356080349999,62.007722443999995,,,,,
200268,2,268,ost,1467.0,8.4498700777,61.8029356267,5.993662148944243,,,,
200013,2,13,ost,1462.0,8.927066438939999,61.560274194099996,,,,,
200290,2,290,ost,1413.0,8.29602907974,61.726231911999996,,,,,
1200013,12,13,ost,1372.0,8.71596095234,61.1685263768,,,,,
200284,2,284,ost,1370.0,9.061225900639998,61.8842849428,,,,,
200025,2,25,ost,1326.0,9.274603970669999,61.817371638900006,,,,,
1200197,12,197,ost,1305.0,8.70313890357,60.9503360863,,,,,
1200137,12,137,ost,1261.0,8.726649701080001,60.7896772649,,,,,
1500079,15,79,ost,1229.0,8.26391836472,60.38209406560001,,,,,
200032,2,32,ost,1205.0,10.2221190528,61.8519384984,,,,,
200614,2,614,ost,1186.0,9.4051525261,61.858566968699996,,,,5.617557883517888,
200145,2,145,ost,1139.0,10.2775323649,61.3333848,,,,,
200129,2,129,ost,1099.0,10.4510651639,62.192230127399995,4.960963605887002,,,,
1200097,12,97,ost,1071.0,9.23131507953,60.4719194017,,5.54928571428571,,,
1500049,15,49,ost,1028.0,8.47906451083,60.4929660414,,,,7.7555382822352685,5.619999999999948
1200099,12,99,ost,1017.0,9.83417605485,60.0780108282,,,,,
1500053,15,53,ost,1011.0,9.01118441235,60.3096045083,,,,,
1600066,16,66,ost,1005.0,8.32061475723,59.8355481776,,,,,
1200207,12,207,ost,981.0,9.075593061060001,61.151745580299995,7.369834543105367,,,,
200011,2,11,ost,939.0,11.4787835648,62.361318225699996,,,,-4.689575568961929,
1200070,12,70,ost,936.0,9.626174239760001,60.951901790200004,5.796745963754404,,,,
200607,2,607,ost,933.0,9.42185550258,62.1745772274,,,,-4.507766754645504,
1600122,16,122,ost,914.0,8.31171853517,59.6414005671,,,,,
1600075,16,75,ost,905.0,8.06738831823,59.6731716234,,9.737500000000004,,,8.376923076923067
1200171,12,171,ost,902.0,9.46021861262,60.709708033999995,,,,,
1200200,12,200,ost,870.0,10.0723333453,60.8233855575,,5.1328571428571355,,11.746846223453748,7.236363636363659
1600010,16,10,ost,852.0,8.993230506849999,59.611714265699995,,,,,
200028,2,28,ost,850.0,10.2708853271,61.215376837700006,6.369076363636369,9.533342493194434,,,12.063333333333325
1200178,12,178,ost,846.0,9.43438837921,60.15176131850001,,,,,10.696000000000003
31100460,311,460,ost,837.0,12.0183481106,61.664878959700005,,,,,
1600051,16,51,ost,820.0,8.87475984036,59.4320111184,,,,,
200604,2,604,ost,817.0,11.560652424,60.8742120704,,,,,
200267,2,267,ost,807.0,11.2418943207,61.7111157512,,,,,
31100004,311,4,ost,782.0,11.940042970799999,61.91996114729999,,,,3.241250485730047,
31100006,311,6,ost,781.0,12.322495811,61.2590776466,,,,2.9444903532631357,
1200113,12,113,ost,597.0,9.634025642760001,60.043203599799995,,8.642222222222244,,,9.916666666666666
1200188,12,188,ost,586.0,9.72745620622,60.3727134693,,,,,
200323,2,323,ost,575.0,11.3261638292,60.886224474399995,5.396324219449032,,,,
1500021,15,21,ost,574.0,9.55479775351,59.70734406890001,,,,-7.45702908437712,
200280,2,280,ost,519.0,10.990436998800002,60.2363087956,,,,,
1600194,16,194,ost,491.0,8.7857909192,59.3490717296,8.549409072759019,,,,
200279,2,279,ost,445.0,11.080103717,60.13344570100001,,,,,
200142,2,142,ost,411.0,12.0471248084,60.641170209799995,,,,,
200616,2,616,ost,376.0,11.7330801085,60.3555376309,,,,,
800002,8,2,ost,341.0,10.5083865143,59.8933940706,,,,,
600010,6,10,ost,300.0,10.800567759200002,59.9872112959,,9.509166666666658,,,7.067692307692298
1200193,12,193,ost,277.0,9.78916007231,59.6975418061,,,,,
800006,8,6,ost,240.0,10.5664510718,59.942938658900005,9.702478459069022,9.093076923076918,,,
200633,2,633,ost,178.0,11.517756048199999,59.3595195293,,,,,
300022,3,22,ost,153.0,10.856104278599998,59.5516102527,,,,,
2600026,26,26,sor,1002.0,6.93801450278,58.9574423772,,,,,
1900104,19,104,sor,777.0,7.98510243401,59.29985500390001,,,-6.508947767167567,-8.818601758241755,
2200020,22,20,sor,767.0,7.4269457889999995,58.4981221228,,,,,
2000002,20,2,sor,763.0,8.10052523255,58.8396329494,,,-3.871176470588235,,
1900073,19,73,sor,667.0,8.29921269373,59.00203798729999,,,,,
1900079,19,79,sor,659.0,8.036406392939998,59.234845846000006,,,-5.08578947368421,,
1900096,19,96,sor,610.0,8.65362135008,59.05231629399999,,,,,
2400009,24,9,sor,588.0,7.223347914,58.4011394637,,,,,
2200004,22,4,sor,560.0,7.527672218139999,58.1202369475,,,,,
2700025,27,25,sor,527.0,6.066195178080001,58.5734023377,,,,,
2700024,27,24,sor,489.0,6.15028777231,58.533599073599994,,,,14.424594355833268,
2600020,26,20,sor,478.0,6.497834356830001,58.5435666775,,,,27.202353288856216,
2600021,26,21,sor,470.0,6.77277922635,58.4897821907,,,,9.63592798254543,
2200016,22,16,sor,447.0,7.584351336010001,58.445609965100005,,,,,
1900082,19,82,sor,396.0,8.50817698637,58.968513513199994,,,,,
1800011,18,11,sor,377.0,8.85937722105,58.932083280600004,,,,3.716927384615391,
2000003,20,3,sor,354.0,8.20306070728,58.330464422700004,,,,,
2400008,24,8,sor,325.0,7.066228958610001,58.1605648946,,,,8.872440247461602,
1800010,18,10,sor,313.0,9.03327195401,58.8836052993,,,,,
2600029,26,29,sor,297.0,6.34451864319,58.3508868761,,,,11.040649745042705,21.59769230769234
1900080,19,80,sor,263.0,8.515726110389998,58.749890711099994,,,,,
2000011,20,11,sor,219.0,8.24237216963,58.3854119511,,,,,
2200022,22,22,sor,198.0,7.83510849133,58.0909799337,,,,,
2800007,28,7,sor,178.0,5.646998685850001,58.6927500209,15.913584584251058,,,-7.249775125941842,
7600005,76,5,vest,1546.0,7.241905558150001,61.6665542182,27.524090745902868,,,,
4600009,46,9,vest,1371.0,6.281771108169999,60.0670753364,,,,,
7500022,75,22,vest,1364.0,7.62113534631,61.5496885637,,,,,
10900009,109,9,vest,1347.0,9.592639395560001,62.51138425,,,,,
8800004,88,4,vest,1337.0,6.889670375580001,61.8586938505,12.749160783020239,,,,
7300004,73,4,vest,1335.0,7.7011314961199995,61.052601404099995,,,,,
9900017,99,17,vest,1325.0,7.49588321296,62.1975093561,,,,,
7300001,73,1,vest,1324.0,7.816670707260001,61.0586015151,,,,,
7600011,76,11,vest,1324.0,7.329787212669999,61.5082735503,,,,,
7600010,76,10,vest,1323.0,7.273516956539999,61.5062261252,-12.533468398874607,,,,
7500028,75,28,vest,1294.0,7.4451107872,61.3816845018,,,,,
5000001,50,1,vest,1277.0,6.74495671676,60.3588525808,,,,,
7200005,72,5,vest,1273.0,7.113902524789999,60.8503484442,,,,,
10900021,109,21,vest,1263.0,9.54912101705,62.256634739,7.469078547272455,,-2.6200411048571177,-9.130073762681945,
