,snumber,regine,main,name,stnr,start.yr,end.yr,missing.yr,areal,altitude,utm.e,runoff.region,lon,lat,BREPRO
109,8200004,82,4,Nautsundvatn,82.4,1960,2012,0,218.96,464.0,-14299.94,vestlandet,5.39112429574,61.250542204300004,0.0
110,8300002,83,2,Viksvatn (Hestadfjorden),83.2,1960,2012,0,508.13,842.0,13381.53,vestlandet,5.88656275574,61.333359389399995,4.93
113,8400015,84,15,JOlstervatn ndf.,84.15,1960,2012,0,384.46,748.0,27578.5,vestlandet,6.10855535273,61.4909881528,6.8
114,8400020,84,20,Holsenvatn,84.2,1963,2012,1,5.14,673.0,24363.15,vestlandet,6.064878971690001,61.43176825689999,
115,8500002,85,2,Blaamannsvatn,85.2,1960,2012,5,225.63,429.0,-2381.17,vestlandet,5.519099890950001,61.565339554,0.0
119,8700002,87,2,Gloppenelva v/Eidsfoss,87.2,1960,2012,0,614.33,869.0,38512.91,vestlandet,6.24007438051,61.7560123793,12.68
121,8800004,88,4,Lovatn,88.4,1960,2012,0,234.88,1337.0,74030.7,vestlandet,6.889670375580001,61.8586938505,36.8
123,8900001,89,1,Horindalsvatn,89.1,1960,2012,0,381.68,480.0,34637.55,vestlandet,6.11860856651,61.9197009441,0.46
124,9100002,91,2,DalsbOvatn,91.2,1960,2012,0,25.72,252.0,-10882.74,vestlandet,5.166490276969999,62.1624295659,0.0
125,9700001,97,1,Fetvatn (Fitjavatnet),97.1,1960,2012,0,88.95,591.0,65356.79,vestlandet,6.59288754194,62.332500446000005,4.56
126,9800004,98,4,Oye ndf.,98.4,1960,2012,0,138.78,982.0,79110.4,vestlandet,6.931252195539999,62.068180169099996,3.79
128,10100001,101,1,Engsetvatn,101.1,1960,2012,0,39.93,159.0,69509.33,vestlandet,6.617669491769999,62.5313953706,0.0
131,10400002,104,2,Eikesdalsvatn,104.2,1960,2012,0,1093.43,1226.0,147786.5,vestlandet,8.12405056822,62.6284650888,1.42
134,10500001,105,1,Osenelv v/Oren,105.1,1960,2012,0,137.59,235.0,129534.15,vestlandet,7.7260648214,62.793199794399996,0.0
136,10900009,109,9,Driva v/Risefoss,109.9,1960,2012,0,745.38,1347.0,221773.18,vestlandet,9.592639395560001,62.51138425,0.9
141,11100005,111,5,Toaaa v/Talgoyfoss,111.5,1960,2012,0,150.47,917.0,183251.27,vestlandet,8.78268596169,62.7966358185,0.0
146,12300031,123,31,Kjeldstad i Garbergelva,123.31,1960,2012,0,145.0,576.0,305904.58,trondelag,11.1311000196,63.26616752060001,0.0
147,12400002,124,2,HOggaas bru,124.2,1960,2012,0,494.72,505.0,318722.12,trondelag,11.358154134600001,63.4929522993,0.0
148,12500002,125,2,Fossing,125.2,1960,2012,2,163.37,282.0,304777.08,trondelag,11.061493748699998,63.610779818299996,0.0
149,12700006,127,6,Grunnfoss,127.6,1960,2012,0,880.42,500.0,342841.22,trondelag,11.8096928124,63.791180368199996,0.0
154,13300007,133,7,Krinsvatn (Kringsvatnet),133.7,1960,2012,0,206.61,348.0,265316.38,trondelag,10.2319088718,63.8040902162,0.0
155,13800001,138,1,Oyungen,138.1,1960,2012,0,239.07,294.0,310110.49,trondelag,11.0816870447,64.2437790293,0.0
156,13900015,139,15,BjOrnstad,139.15,1960,2012,0,1037.62,700.0,417933.0,trondelag,13.258363651300002,65.0177902669,0.14
160,14000002,140,2,Salsvatn,140.2,1960,2012,0,431.9,270.0,331028.74,trondelag,11.4543617988,64.70537653939999,0.0
162,14400001,144,1,aabjOrvatn,144.1,1960,2012,6,388.95,625.0,390293.0,nordland,12.6697943493,65.03851600760001,0.03
164,15000001,150,1,SOrra,150.1,1960,2012,3,6.58,69.0,389532.0,nordland,12.5676106158,65.9786273424,0.0
168,15100028,151,28,Laksfors,151.28,1960,2012,0,3653.4,660.0,421282.0,nordland,13.2907325225,65.6215448807,0.6
169,15200004,152,4,Fustvatn,152.4,1960,2012,0,525.69,436.0,422912.0,nordland,13.3076484748,65.9050580957,0.54
170,15300001,153,1,Storvatn,153.1,1960,2012,0,48.0,516.0,414870.0,nordland,13.1171930224,66.0937621928,0.0
171,15600008,156,8,Svartisdal,156.8,1960,2012,0,121.98,902.0,465482.0,nordland,14.224826589300001,66.4808882322,45.85
172,15600010,156,10,Berget,156.1,1960,2012,0,210.63,804.0,450012.0,nordland,13.878476031300002,66.4567164074,34.94
173,15600013,156,13,BjOrnfoss,156.13,1960,2012,0,306.1,924.0,469532.0,nordland,14.316014331600002,66.4723690112,20.39
174,15600015,156,15,Forsbakk,156.15,1963,2012,1,56.04,445.0,446652.0,nordland,13.8108700697,66.2930072954,0.0
178,15700003,157,3,Vassvatn,157.3,1960,2012,0,16.33,471.0,418712.0,nordland,13.1807689302,66.3926258746,0.0
182,16200003,162,3,Skarsvatn,162.3,1960,2012,0,145.39,520.0,499241.0,nordland,14.982532615799999,67.0837367551,0.0
183,16300005,163,5,Junkerdalselv,163.5,1960,2012,0,421.98,834.0,518043.0,nordland,15.410687646900001,66.81479810229999,0.55
184,16300006,163,6,Jordbrufjell,163.6,1960,2012,1,69.91,664.0,506407.0,nordland,15.1465539059,66.9356041186,0.0
186,16600001,166,1,Lakshola,166.1,1960,2012,0,230.79,500.0,532582.0,nordland,15.761407283699999,67.4513525157,1.2
187,16600013,166,13,Vallvatn,166.13,1960,2012,2,53.04,97.0,523039.0,nordland,15.5359783098,67.3440848394,0.0
188,16700003,167,3,kobbvatn,167.3,1960,2012,0,387.14,680.0,542026.0,nordland,15.989289248099999,67.6238643486,2.29
189,16800003,168,3,Laksaa bru,168.3,1960,2012,0,26.67,217.0,512486.0,nordland,15.2960780725,67.7966344483,0.0
190,17200005,172,5,Melkedal (Litlevatn),172.5,1960,2012,0,92.15,412.0,570950.0,nordland,16.716241052,68.2547123766,0.88
193,17700004,177,4,Sneisvatn,177.4,1960,2012,0,29.25,302.0,528971.0,nordland,15.7054432428,68.4074830925,0.0
194,17800001,178,1,Langvatn,178.1,1960,2012,0,18.41,356.0,529132.0,nordland,15.7160409458,68.6189695629,0.0
195,18500001,185,1,Gaaslandsvatn,185.1,1960,2012,1,7.7,34.0,484953.0,nordland,14.6292726432,68.6728276175,0.0
198,19600007,196,7,Ytre FiskelOsvatn,196.7,1960,2012,1,54.42,273.0,653315.84,finnmark,18.8820667741,69.2629743252,0.0
199,19600011,196,11,Lille Rostavatn,196.11,1960,2012,0,638.38,740.0,682880.44,finnmark,19.581081202,69.0229805343,0.44
200,19600012,196,12,Lundberg,196.12,1961,2012,3,246.53,868.0,643677.17,finnmark,18.5494147369,68.7223494475,2.15
201,19600035,196,35,Malangsfoss,196.35,1960,2012,0,3110.65,713.0,646006.34,finnmark,18.6583375244,69.0349282602,0.73
206,20800002,208,2,Oksfjordvatn,208.2,1960,2012,0,265.6,548.0,744171.21,finnmark,21.3763954222,69.9003319278,0.66
208,20900004,209,4,Lillefossen,209.4,1961,2012,1,331.83,806.0,766270.33,finnmark,21.9176192942,69.78567169909999,0.0
212,21300002,213,2,Leribotnvatn,213.2,1961,2012,1,135.47,457.0,823897.88,finnmark,23.5534396141,70.106674463,0.0
214,22300001,223,1,Stabburselv,223.1,1960,2012,1,1067.33,441.0,872637.89,finnmark,24.8833008425,70.1763363236,0.0
216,22400001,224,1,Skoganvarre,224.1,1960,2012,2,942.31,345.0,886448.06,finnmark,25.085420092199996,69.8369901977,0.0
217,24400002,244,2,Neiden,244.2,1960,2012,5,2947.19,212.0,1050091.64,finnmark,29.321308144899998,69.7007173953,0.0
218,24600009,246,9,Sametielv,246.9,1962,2012,1,255.69,131.0,1073079.06,finnmark,29.717045206599998,69.40015441199999,0.0
220,30700005,307,5,MurusjO,307.5,1960,2012,0,345.62,528.0,452694.0,trondelag,14.0156504925,64.4866994975,0.0
221,30700007,307,7,Landbru,307.7,1960,2012,0,61.37,711.0,448692.0,trondelag,13.9165089785,64.8867905641,0.0
222,30800001,308,1,Lenglingen,308.1,1960,2012,0,449.98,625.0,439898.0,trondelag,13.7603059996,64.2448717133,0.0
223,31100004,311,4,Femundsenden (Femunden),311.4,1960,2012,0,1794.03,782.0,339350.0,ostlandet,11.940042970799999,61.91996114729999,0.0
224,31100006,311,6,Nybergsund,311.6,1960,2012,0,4424.85,781.0,356394.0,ostlandet,12.322495811,61.2590776466,0.0
225,31100460,311,460,Engeren,311.46,1960,2012,0,394.83,837.0,342155.66,ostlandet,12.0183481106,61.664878959700005,0.0
