Year;Obs;Median;"10%";"90%"
"2073";;"-3.465";"-7.093";"3.145"
"2074";;"-3.38";"-7.166";"2.971"
"2075";;"-3.36";"-7.198";"2.823"
"2076";;"-3.355";"-7.199";"2.692"
"2077";;"-3.3";"-7.151";"2.597"
"2078";;"-3.195";"-7.082";"2.52"
"2079";;"-3.045";"-6.973";"2.489"
"2080";;"-2.85";"-6.853";"2.479"
"2081";;"-2.61";"-6.703";"2.508"
"2082";;"-2.325";"-6.552";"2.567"
"2083";;"-2.01";"-6.382";"2.658"
"2084";;"-1.73";"-6.211";"2.788"
"2085";;"-1.62";"-5.951";"2.942"
"2086";;"-1.52";"-5.691";"3.127"
"2087";;"-1.43";"-5.431";"3.344"
"2088";;"-1.35";"-5.171";"3.584"
"2089";;"-1.28";"-4.929";"3.575"
"2090";;"-1.22";"-4.687";"3.562"
"2091";;"-0.925";"-4.463";"3.587"
"2092";;"-0.55";"-4.248";"3.64"
"2093";;"-0.16";"-4.05";"3.713"
"2094";;"0.23";"-3.861";"3.804"
"2095";;"0.625";"-3.906";"3.905"
"2096";;"1.02";"-4.134";"4.096"
"2097";;"1.405";"-3.992";"4.413"
"2098";;"1.785";"-3.84";"4.703"
"2099";;"2.155";"-3.696";"4.975"
"2100";;"2.52";"-3.54";"5.236"
