Year;Obs;Median;"10%";"90%"
"2072";;"0.785";"-11.344";"7.501"
"2073";;"1.155";"-11.5";"7.717"
"2074";;"1.515";"-11.651";"7.896"
"2075";;"1.865";"-11.807";"8.047"
"2076";;"2.19";"-11.952";"8.149"
"2077";;"2.4";"-11.975";"8.204"
"2078";;"2.315";"-11.571";"8.201"
"2079";;"2.215";"-11.183";"8.149"
"2080";;"2.1";"-10.811";"8.029"
"2081";;"1.985";"-10.472";"7.841"
"2082";;"1.86";"-10.176";"7.595"
"2083";;"1.74";"-9.932";"7.28"
"2084";;"1.635";"-9.739";"6.898"
"2085";;"1.54";"-9.615";"6.537"
"2086";;"1.46";"-9.553";"6.55"
"2087";;"1.4";"-9.552";"6.505"
"2088";;"1.355";"-9.65";"6.384"
"2089";;"1.34";"-9.962";"6.216"
"2090";;"1.335";"-10.255";"5.99"
"2091";;"1.135";"-10.522";"5.718"
"2092";;"0.76";"-10.762";"5.408"
"2093";;"0.4";"-10.975";"5.061"
"2094";;"0.06";"-11.162";"4.686"
"2095";;"-0.265";"-11.511";"4.294"
"2096";;"-0.565";"-11.898";"3.892"
"2097";;"-0.845";"-12.303";"3.834"
"2098";;"-1.105";"-12.802";"3.893"
"2099";;"-1.335";"-13.167";"3.944"
"2100";;"-1.55";"-13.622";"3.979"
