Year;Obs;Median;"10%";"90%"
"2069";;"-1.79";"-11.655";"4.179"
"2070";;"-1.79";"-11.796";"3.989"
"2071";;"-1.775";"-11.942";"4.129"
"2072";;"-1.75";"-12.086";"4.212"
"2073";;"-1.705";"-12.218";"4.24"
"2074";;"-1.65";"-12.367";"4.194"
"2075";;"-1.57";"-12.515";"4.092"
"2076";;"-1.475";"-12.672";"3.926"
"2077";;"-1.365";"-12.829";"4.056"
"2078";;"-1.24";"-13.005";"4.295"
"2079";;"-1.1";"-13.182";"4.525"
"2080";;"-0.95";"-13.362";"4.73"
"2081";;"-0.795";"-13.552";"4.911"
"2082";;"-0.495";"-13.727";"5.058"
"2083";;"-0.42";"-13.904";"5.172"
"2084";;"-0.365";"-14.076";"5.235"
"2085";;"-0.33";"-14.242";"5.266"
"2086";;"-0.125";"-14.385";"5.246"
"2087";;"-0.085";"-14.513";"5.183"
"2088";;"-0.05";"-14.636";"5.078"
"2089";;"0.025";"-14.735";"4.93"
"2090";;"0.0";"-14.811";"4.747"
"2091";;"-0.11";"-14.881";"4.528"
"2092";;"-0.3";"-14.927";"4.292"
"2093";;"-0.635";"-14.966";"4.028"
"2094";;"-1.02";"-14.991";"3.753"
"2095";;"-1.435";"-14.999";"3.458"
"2096";;"-1.88";"-15.001";"3.162"
"2097";;"-2.34";"-14.986";"2.961"
"2098";;"-2.8";"-14.972";"3.154"
"2099";;"-3.08";"-14.942";"3.325"
"2100";;"-3.36";"-14.912";"3.467"
