Year;Obs;Median;"10%";"90%"
"2070";;"-0.63";"-10.284";"1.169"
"2071";;"-0.745";"-10.477";"1.022"
"2072";;"-0.875";"-10.627";"0.835"
"2073";;"-1.01";"-10.746";"0.637"
"2074";;"-1.16";"-10.834";"0.669"
"2075";;"-1.285";"-10.919";"0.743"
"2076";;"-1.325";"-10.946";"0.78"
"2077";;"-1.35";"-10.51";"0.787"
"2078";;"-1.44";"-10.094";"0.775"
"2079";;"-1.54";"-9.708";"0.734"
"2080";;"-1.62";"-9.369";"0.685"
"2081";;"-1.675";"-9.071";"0.744"
"2082";;"-1.72";"-8.84";"1.047"
"2083";;"-1.785";"-8.677";"1.201"
"2084";;"-1.76";"-8.582";"1.16"
"2085";;"-1.775";"-8.554";"1.139"
"2086";;"-1.83";"-8.593";"1.146"
"2087";;"-1.925";"-8.7";"1.171"
"2088";;"-2.05";"-8.863";"1.223"
"2089";;"-2.205";"-9.091";"1.301"
"2090";;"-2.39";"-9.357";"1.395"
"2091";;"-2.59";"-9.678";"1.559"
"2092";;"-2.815";"-10.026";"1.766"
"2093";;"-3.06";"-10.401";"1.924"
"2094";;"-3.31";"-10.81";"2.052"
"2095";;"-3.575";"-11.226";"2.141"
"2096";;"-3.845";"-11.658";"2.262"
"2097";;"-4.12";"-12.088";"2.424"
"2098";;"-4.4";"-12.524";"2.583"
"2099";;"-4.68";"-12.967";"2.73"
"2100";;"-4.965";"-13.397";"2.873"
