Year;Obs;Median;"10%";"90%"
"2064";;"3.077";"1.935";"4.407"
"2065";;"3.12";"1.967";"4.444"
"2066";;"3.164";"1.997";"4.478"
"2067";;"3.208";"2.026";"4.51"
"2068";;"3.253";"2.054";"4.539"
"2069";;"3.297";"2.08";"4.565"
"2070";;"3.341";"2.104";"4.589"
"2071";;"3.385";"2.126";"4.61"
"2072";;"3.427";"2.147";"4.629"
"2073";;"3.468";"2.166";"4.646"
"2074";;"3.487";"2.184";"4.662"
"2075";;"3.501";"2.201";"4.676"
"2076";;"3.513";"2.218";"4.689"
"2077";;"3.526";"2.234";"4.701"
"2078";;"3.538";"2.249";"4.712"
"2079";;"3.55";"2.265";"4.723"
"2080";;"3.561";"2.281";"4.733"
"2081";;"3.573";"2.297";"4.743"
"2082";;"3.584";"2.314";"4.752"
"2083";;"3.595";"2.331";"4.761"
"2084";;"3.605";"2.349";"4.768"
"2085";;"3.614";"2.368";"4.775"
"2086";;"3.623";"2.388";"4.781"
"2087";;"3.63";"2.408";"4.786"
"2088";;"3.637";"2.429";"4.789"
"2089";;"3.642";"2.451";"4.791"
"2090";;"3.645";"2.473";"4.791"
"2091";;"3.648";"2.496";"4.791"
"2092";;"3.649";"2.52";"4.789"
"2093";;"3.648";"2.543";"4.785"
"2094";;"3.647";"2.567";"4.78"
"2095";;"3.644";"2.592";"4.775"
"2096";;"3.641";"2.616";"4.768"
"2097";;"3.636";"2.641";"4.76"
"2098";;"3.631";"2.665";"4.752"
"2099";;"3.626";"2.69";"4.743"
"2100";;"3.619";"2.714";"4.733"
