Year;Obs;Median;"10%";"90%"
"2063";;"1.827";"1.275";"2.379"
"2064";;"1.827";"1.297";"2.41"
"2065";;"1.832";"1.318";"2.441"
"2066";;"1.85";"1.339";"2.47"
"2067";;"1.867";"1.359";"2.499"
"2068";;"1.883";"1.378";"2.528"
"2069";;"1.897";"1.395";"2.556"
"2070";;"1.91";"1.411";"2.584"
"2071";;"1.92";"1.425";"2.612"
"2072";;"1.942";"1.437";"2.64"
"2073";;"1.989";"1.448";"2.668"
"2074";;"2.035";"1.457";"2.696"
"2075";;"2.078";"1.465";"2.724"
"2076";;"2.12";"1.471";"2.752"
"2077";;"2.158";"1.478";"2.781"
"2078";;"2.188";"1.483";"2.809"
"2079";;"2.186";"1.489";"2.837"
"2080";;"2.184";"1.495";"2.864"
"2081";;"2.182";"1.501";"2.89"
"2082";;"2.18";"1.509";"2.915"
"2083";;"2.179";"1.518";"2.937"
"2084";;"2.177";"1.527";"2.958"
"2085";;"2.176";"1.539";"2.977"
"2086";;"2.175";"1.552";"2.993"
"2087";;"2.175";"1.566";"3.006"
"2088";;"2.174";"1.581";"3.016"
"2089";;"2.175";"1.598";"3.023"
"2090";;"2.175";"1.617";"3.028"
"2091";;"2.176";"1.636";"3.029"
"2092";;"2.178";"1.656";"3.028"
"2093";;"2.181";"1.677";"3.024"
"2094";;"2.189";"1.69";"3.018"
"2095";;"2.196";"1.699";"3.01"
"2096";;"2.203";"1.707";"3.0"
"2097";;"2.209";"1.715";"2.988"
"2098";;"2.215";"1.723";"2.975"
"2099";;"2.22";"1.732";"2.96"
"2100";;"2.225";"1.74";"2.945"
