Year;Obs;Median;"10%";"90%"
"2068";;"2.227";"1.476";"2.853"
"2069";;"2.279";"1.492";"2.877"
"2070";;"2.33";"1.507";"2.901"
"2071";;"2.351";"1.521";"2.924"
"2072";;"2.373";"1.533";"2.947"
"2073";;"2.396";"1.545";"2.971"
"2074";;"2.42";"1.555";"2.994"
"2075";;"2.445";"1.564";"3.018"
"2076";;"2.453";"1.573";"3.043"
"2077";;"2.457";"1.582";"3.068"
"2078";;"2.46";"1.59";"3.093"
"2079";;"2.462";"1.599";"3.119"
"2080";;"2.464";"1.609";"3.144"
"2081";;"2.465";"1.619";"3.169"
"2082";;"2.466";"1.63";"3.193"
"2083";;"2.467";"1.642";"3.215"
"2084";;"2.467";"1.655";"3.236"
"2085";;"2.466";"1.67";"3.256"
"2086";;"2.465";"1.686";"3.272"
"2087";;"2.464";"1.704";"3.287"
"2088";;"2.463";"1.723";"3.299"
"2089";;"2.461";"1.743";"3.308"
"2090";;"2.46";"1.763";"3.314"
"2091";;"2.458";"1.785";"3.318"
"2092";;"2.456";"1.807";"3.318"
"2093";;"2.453";"1.83";"3.317"
"2094";;"2.451";"1.853";"3.312"
"2095";;"2.448";"1.876";"3.306"
"2096";;"2.445";"1.899";"3.297"
"2097";;"2.442";"1.922";"3.286"
"2098";;"2.439";"1.945";"3.274"
"2099";;"2.435";"1.967";"3.26"
"2100";;"2.432";"1.989";"3.245"
