Year;Obs;Median;"10%";"90%"
"2073";;"-5.335";"-5.823";"3.953"
"2074";;"-4.975";"-5.917";"4.397"
"2075";;"-4.605";"-6.033";"4.819"
"2076";;"-4.245";"-6.026";"5.235"
"2077";;"-3.9";"-6.033";"5.628"
"2078";;"-3.58";"-6.061";"6.005"
"2079";;"-3.29";"-6.112";"6.366"
"2080";;"-3.03";"-6.17";"6.7"
"2081";;"-2.805";"-6.266";"7.017"
"2082";;"-2.615";"-6.38";"7.315"
"2083";;"-2.46";"-6.503";"7.595"
"2084";;"-2.335";"-6.644";"7.855"
"2085";;"-2.245";"-6.812";"8.105"
"2086";;"-2.18";"-7.007";"8.353"
"2087";;"-2.13";"-7.201";"8.582"
"2088";;"-2.095";"-7.342";"8.8"
"2089";;"-2.075";"-7.476";"9.017"
"2090";;"-2.055";"-7.594";"9.234"
"2091";;"-2.035";"-7.714";"9.44"
"2092";;"-2.01";"-7.817";"9.637"
"2093";;"-1.975";"-7.913";"9.834"
"2094";;"-1.755";"-8.0";"10.031"
"2095";;"-1.475";"-8.079";"10.219"
"2096";;"-1.195";"-8.158";"10.407"
"2097";;"-0.91";"-8.22";"10.586"
"2098";;"-0.635";"-8.282";"10.757"
"2099";;"-0.36";"-8.334";"10.928"
"2100";;"-0.085";"-8.387";"11.09"
