Year;Obs;Median;"10%";"90%"
"2073";;"5.285";"0.137";"8.788"
"2074";;"5.215";"0.493";"8.61"
"2075";;"4.985";"0.886";"8.762"
"2076";;"4.755";"1.287";"8.891"
"2077";;"4.77";"1.688";"9.008"
"2078";;"4.98";"2.078";"9.104"
"2079";;"5.21";"2.051";"9.188"
"2080";;"5.45";"1.724";"9.244"
"2081";;"5.7";"1.393";"9.278"
"2082";;"5.95";"1.075";"9.293"
"2083";;"6.19";"0.761";"8.95"
"2084";;"6.41";"0.468";"8.563"
"2085";;"6.615";"0.187";"8.776"
"2086";;"6.785";"-0.072";"9.004"
"2087";;"6.925";"-0.31";"9.152"
"2088";;"6.68";"-0.516";"9.082"
"2089";;"6.37";"-0.691";"8.992"
"2090";;"6.03";"-0.842";"8.884"
"2091";;"5.65";"-0.969";"8.756"
"2092";;"5.235";"-1.071";"8.626"
"2093";;"4.885";"-1.156";"8.475"
"2094";;"4.775";"-1.214";"8.654"
"2095";;"4.635";"-1.254";"8.856"
"2096";;"4.485";"-1.285";"9.046"
"2097";;"4.31";"-1.296";"9.242"
"2098";;"4.13";"-1.305";"9.434"
"2099";;"3.93";"-1.502";"9.615"
"2100";;"3.72";"-2.038";"9.792"
