Year;Obs;Median;"10%";"90%"
"2071";;"-3.935";"-13.007";"6.389"
"2072";;"-3.93";"-13.19";"5.939"
"2073";;"-3.9";"-13.413";"5.842"
"2074";;"-3.845";"-13.667";"5.962"
"2075";;"-3.77";"-13.943";"6.046"
"2076";;"-3.665";"-14.249";"6.104"
"2077";;"-3.545";"-14.577";"6.128"
"2078";;"-3.4";"-14.926";"6.127"
"2079";;"-3.24";"-15.263";"6.102"
"2080";;"-3.07";"-15.58";"6.054"
"2081";;"-2.9";"-15.907";"5.993"
"2082";;"-2.73";"-16.242";"5.921"
"2083";;"-2.705";"-16.596";"5.83"
"2084";;"-2.845";"-16.94";"5.741"
"2085";;"-2.975";"-17.292";"5.635"
"2086";;"-3.115";"-17.643";"5.533"
"2087";;"-3.25";"-17.984";"5.418"
"2088";;"-3.39";"-18.324";"5.3"
"2089";;"-3.54";"-18.653";"5.17"
"2090";;"-3.695";"-18.973";"5.046"
"2091";;"-3.86";"-19.282";"4.903"
"2092";;"-4.035";"-19.581";"4.757"
"2093";;"-4.22";"-19.879";"4.61"
"2094";;"-4.415";"-20.158";"4.442"
"2095";;"-4.625";"-20.436";"4.27"
"2096";;"-4.84";"-20.703";"4.087"
"2097";;"-5.065";"-20.961";"3.899"
"2098";;"-5.29";"-21.208";"3.706"
"2099";;"-5.53";"-21.445";"3.499"
"2100";;"-5.765";"-21.681";"3.286"
