Year;Obs;Median;"10%";"90%"
"2073";;"2.882";"-3.825";"8.032"
"2074";;"3.056";"-3.583";"8.157"
"2075";;"3.283";"-3.306";"8.287"
"2076";;"3.745";"-3.105";"8.424"
"2077";;"4.222";"-3.141";"8.571"
"2078";;"4.708";"-3.186";"8.728"
"2079";;"5.195";"-3.239";"8.898"
"2080";;"5.675";"-3.301";"9.083"
"2081";;"6.138";"-3.372";"9.282"
"2082";;"6.578";"-3.449";"9.498"
"2083";;"6.987";"-3.532";"9.728"
"2084";;"7.357";"-3.617";"9.974"
"2085";;"7.683";"-3.704";"10.233"
"2086";;"7.794";"-3.789";"10.312"
"2087";;"7.844";"-3.872";"10.404"
"2088";;"7.869";"-3.95";"10.526"
"2089";;"7.87";"-4.022";"10.677"
"2090";;"7.849";"-4.087";"10.859"
"2091";;"7.807";"-4.145";"11.072"
"2092";;"7.749";"-4.195";"11.314"
"2093";;"7.676";"-4.237";"11.584"
"2094";;"7.592";"-4.272";"11.878"
"2095";;"7.498";"-4.299";"12.193"
"2096";;"7.399";"-4.32";"12.526"
"2097";;"7.296";"-4.336";"12.873"
"2098";;"7.192";"-4.346";"13.23"
"2099";;"7.089";"-4.352";"13.593"
"2100";;"6.965";"-4.355";"13.732"
