Year;Obs;Median;"10%";"90%"
"2068";;"2.061";"1.419";"2.73"
"2069";;"2.077";"1.436";"2.752"
"2070";;"2.091";"1.451";"2.78"
"2071";;"2.13";"1.464";"2.808"
"2072";;"2.185";"1.476";"2.835"
"2073";;"2.239";"1.487";"2.862"
"2074";;"2.285";"1.496";"2.889"
"2075";;"2.309";"1.505";"2.916"
"2076";;"2.333";"1.513";"2.943"
"2077";;"2.358";"1.52";"2.969"
"2078";;"2.384";"1.528";"2.996"
"2079";;"2.41";"1.536";"3.022"
"2080";;"2.436";"1.545";"3.048"
"2081";;"2.462";"1.554";"3.072"
"2082";;"2.486";"1.565";"3.096"
"2083";;"2.51";"1.576";"3.118"
"2084";;"2.532";"1.59";"3.138"
"2085";;"2.553";"1.604";"3.157"
"2086";;"2.571";"1.62";"3.173"
"2087";;"2.586";"1.638";"3.187"
"2088";;"2.599";"1.656";"3.198"
"2089";;"2.609";"1.676";"3.206"
"2090";;"2.616";"1.697";"3.212"
"2091";;"2.62";"1.719";"3.215"
"2092";;"2.621";"1.741";"3.215"
"2093";;"2.619";"1.764";"3.213"
"2094";;"2.615";"1.788";"3.209"
"2095";;"2.609";"1.811";"3.203"
"2096";;"2.6";"1.835";"3.194"
"2097";;"2.59";"1.859";"3.184"
"2098";;"2.578";"1.877";"3.173"
"2099";;"2.566";"1.889";"3.16"
"2100";;"2.552";"1.899";"3.146"
