Year;Obs;Median;"10%";"90%"
"2073";;"5.23";"-4.134";"10.106"
"2074";;"5.63";"-3.603";"10.261"
"2075";;"6.02";"-3.011";"10.416"
"2076";;"6.39";"-2.7";"10.7"
"2077";;"6.76";"-2.636";"10.867"
"2078";;"7.12";"-2.566";"11.059"
"2079";;"7.47";"-2.5";"11.311"
"2080";;"7.81";"-2.438";"11.587"
"2081";;"8.09";"-2.382";"11.876"
"2082";;"8.335";"-2.329";"12.187"
"2083";;"8.55";"-2.272";"12.52"
"2084";;"8.725";"-2.209";"12.873"
"2085";;"8.9";"-2.15";"13.256"
"2086";;"9.35";"-2.094";"13.641"
"2087";;"9.73";"-2.022";"14.057"
"2088";;"10.04";"-1.953";"14.466"
"2089";;"10.285";"-1.875";"14.887"
"2090";;"10.47";"-1.799";"15.168"
"2091";;"10.59";"-1.714";"15.116"
"2092";;"10.66";"-1.621";"15.028"
"2093";;"10.685";"-1.528";"14.921"
"2094";;"10.665";"-1.444";"14.785"
"2095";;"10.615";"-1.351";"15.016"
"2096";;"10.53";"-1.258";"15.271"
"2097";;"10.435";"-1.165";"15.793"
"2098";;"10.32";"-1.08";"16.384"
"2099";;"10.19";"-0.995";"16.981"
"2100";;"10.06";"-0.91";"17.566"
