Year;Obs;Median;"10%";"90%"
"2073";;"1.074";"-4.951";"5.446"
"2074";;"1.061";"-4.914";"5.311"
"2075";;"1.064";"-4.879";"5.207"
"2076";;"1.087";"-4.851";"5.138"
"2077";;"1.131";"-4.677";"5.108"
"2078";;"1.196";"-4.35";"5.119"
"2079";;"1.285";"-4.031";"5.172"
"2080";;"1.395";"-3.732";"5.266"
"2081";;"1.401";"-3.461";"5.4"
"2082";;"1.48";"-3.226";"5.57"
"2083";;"1.563";"-3.034";"5.774"
"2084";;"1.654";"-2.889";"6.006"
"2085";;"1.779";"-2.794";"6.261"
"2086";;"1.885";"-2.75";"6.323"
"2087";;"1.971";"-2.758";"6.219"
"2088";;"2.097";"-2.815";"6.12"
"2089";;"2.237";"-2.918";"6.023"
"2090";;"2.341";"-3.065";"5.931"
"2091";;"2.378";"-3.249";"5.842"
"2092";;"2.423";"-3.466";"5.757"
"2093";;"2.474";"-3.711";"5.674"
"2094";;"2.531";"-3.98";"5.595"
"2095";;"2.594";"-4.266";"5.635"
"2096";;"2.661";"-4.565";"5.779"
"2097";;"2.732";"-4.873";"5.896"
"2098";;"2.807";"-5.186";"5.987"
"2099";;"2.885";"-5.502";"6.053"
"2100";;"2.965";"-5.816";"6.095"
