Year;Obs;Median;"10%";"90%"
"2073";;"9.78";"0.701";"13.597"
"2074";;"10.125";"0.722";"13.896"
"2075";;"10.495";"0.724";"14.191"
"2076";;"10.93";"0.706";"14.472"
"2077";;"11.625";"0.66";"14.749"
"2078";;"11.88";"0.585";"15.013"
"2079";;"12.13";"0.473";"15.075"
"2080";;"12.365";"0.332";"15.598"
"2081";;"12.58";"0.155";"15.931"
"2082";;"12.785";"-0.042";"16.243"
"2083";;"12.78";"-0.248";"16.534"
"2084";;"12.64";"-0.473";"16.818"
"2085";;"12.495";"-0.707";"17.077"
"2086";;"12.35";"-0.933";"17.318"
"2087";;"12.205";"-1.149";"17.539"
"2088";;"12.065";"-1.358";"17.739"
"2089";;"11.93";"-1.54";"17.919"
"2090";;"11.81";"-1.695";"18.069"
"2091";;"11.69";"-1.823";"18.206"
"2092";;"11.585";"-1.925";"18.314"
"2093";;"11.485";"-1.991";"18.394"
"2094";;"11.4";"-2.031";"18.454"
"2095";;"11.32";"-2.044";"18.479"
"2096";;"11.25";"-2.021";"18.487"
"2097";;"11.195";"-1.981";"18.47"
"2098";;"11.0";"-1.905";"18.429"
"2099";;"10.415";"-1.811";"18.358"
"2100";;"9.82";"-1.69";"17.977"
