Year;Obs;Median;"10%";"90%"
"2073";;"3.22";"-5.616";"6.807"
"2074";;"3.05";"-5.373";"6.656"
"2075";;"2.88";"-5.085";"6.555"
"2076";;"2.705";"-4.772";"6.514"
"2077";;"2.545";"-4.436";"6.552"
"2078";;"2.395";"-4.103";"6.65"
"2079";;"2.26";"-3.776";"6.827"
"2080";;"2.145";"-3.463";"7.072"
"2081";;"2.225";"-3.184";"7.375"
"2082";;"2.27";"-2.948";"7.728"
"2083";;"2.16";"-2.754";"8.138"
"2084";;"2.04";"-2.611";"8.585"
"2085";;"1.915";"-2.527";"9.052"
"2086";;"1.78";"-2.503";"9.545"
"2087";;"1.645";"-2.545";"10.045"
"2088";;"1.51";"-2.636";"10.535"
"2089";;"1.475";"-2.79";"11.022"
"2090";;"1.46";"-2.981";"11.497"
"2091";;"1.465";"-3.226";"11.941"
"2092";;"1.5";"-3.514";"12.363"
"2093";;"1.55";"-3.826";"12.745"
"2094";;"1.61";"-4.171";"13.096"
"2095";;"1.68";"-4.548";"13.416"
"2096";;"1.76";"-5.046";"13.696"
"2097";;"1.855";"-5.513";"13.937"
"2098";;"1.945";"-5.957";"14.052"
"2099";;"2.045";"-6.378";"14.08"
"2100";;"2.14";"-6.767";"14.077"
